Date,Title,EngTitle,JapEngTitle
2020-10-31 00:15:00,[주말n입사지원]롯데그룹·셀트리온·티몬 등 채용 소식,"[Weekend n recruitment support] Recruitment news from Lotte Group, Celltrion, Timon, etc.","[Weekend n hiring support] Lotte Group, Celltrion, Timons, etc. Recruitment news"
2020-10-28 19:05:00,릴리 임상중단…셀트리온 '경증환자 조기 항체치료' 주목,Lily clinical suspension... Celltrion pays attention to'early antibody treatment for mild patients',"Lily clinical interruption ... Focus on celltrion ""early antibody treatment of mildly ill patients"""
2020-10-28 11:15:00,"셀트리온 ""릴리 임상 중단, 코로나19 조기 항체치료 필요성 방증""","Celltrion ""Stops clinical trials in Lily, demonstrating the need for early antibody treatment for COVID-19""","Celltrion ""Lily clinical discontinuation, corona 19 evidence of the need for early antibody treatment"""
2020-10-27 15:25:00,"[이데일리N] 셀트리온, 국제학회서 램시마SC 임상 3상 결과 발표 外",[EDaily N] Celltrion announces the results of Phase 3 clinical trial of Remsima SC,[EDAILY N] Celltrion does not present Lamu SC clinical phase 3 results at international conference
2020-10-27 14:49:00,"셀트리온 램시마SC, 램시마와 효능 같아","Celltrion Remsima SC, same effect as Remsima","Sertorion Lamu SC, Lamu and Efficacy"
2020-10-27 11:22:00,"셀트리온, 램시마SC 임상 3상 결과…“제형별 면역원성 차이 無”","Celltrion, Remsima SC Clinical Phase 3 Results… “No difference in immunogenicity by formulation”","Results of celltrion, RAM Shima SC clinical phase 3 ... ""No difference in immunogenicity by dosage form"""
2020-10-27 10:56:00,"셀트리온 ""램시마SC, 제형 따른 차이 없어""","Celltrion ""Remsima SC, there is no difference according to formulation""","Celltrion ""Lamu SC, no difference depending on dosage form"""
2020-10-27 10:03:00,"셀트리온, 국제학회서 ‘램시마SC’ 임상 3상 결과 발표",Celltrion Announces Results of Phase 3 Clinical Trial of Remsima SC at International Conference,"Celltrion announces clinical phase 3 results of ""Lamu SC"" at an international conference"
2020-10-27 09:33:00,"셀트리온, 램시마SC 임상3상 결과…""편의성 높은 치료수단 결론""","Celltrion, Remsima SC Phase 3 clinical results... ""Conclusion of convenient treatment means""","Results of Celltrion, RAM Shima SC clinical phase 3 ... ""Conclusion of convenient treatment method"""
2020-10-27 09:09:00,"셀트리온, 램시마SC 3상 결과 발표···“제형 달라도 효능 동등”",Celltrion announces results of Phase 3 of Remsima SC...,"Celltrion, RAM Shima SC 3-phase result announcement ... ""Equivalent efficacy even if the dosage form is different"""
2020-10-27 11:18:00,[주식 초고수는 지금]셀트리온·한화솔루션 매수 집중,[Super high stocks now] Focus on buying Celltrion and Hanwha Solutions,[Stock Chogos is now] Celltrion Hanwha Solution Concentrate
2020-10-27 10:48:00,"셀트리온, 국제학회서 램시마SC 임상3상 결과 발표",Celltrion Announces Results of Phase 3 Clinical Trial at Remsima SC at International Conference,Celltrion presents Lamu SC clinical phase 3 results at international conference
2020-10-27 10:07:00,"셀트리온, 아시아태평양 류마티스학회서 램시마SC 임상 3상 결과 발표",Celltrion Announces Phase 3 Clinical Results of Remsima SC at Asia Pacific Rheumatology Society,Celltrion presents Lamu SC clinical phase 3 results at Asia Pacific Rheumatology Society
2020-10-27 09:21:00,"셀트리온, 아태 류마티스학회서 램시마SC 임상 3상 결과 발표",Celltrion Announces Phase 3 Clinical Results of Remsima SC at Asia Pacific Rheumatology Society,Celltrion presents Lamu SC clinical phase 3 results at Asia Pacific Rheumatology Society
2020-10-27 08:30:00,"[Hot-Line] ""셀트리온, 펀더멘털 감안하면 지금은 저가매수 기회...","[Hot-Line] ""Celltrion, taking into account its fundamentals, is now an opportunity to buy at a low price...","[Hot-Line] ""Celltrion, given the fundamentals, now is the opportunity for a low-priced acquisition ..."
2020-10-27 08:10:00,"셀트리온, 3분기 실적 컨센서스 부합할 것…저가매수 기회-SK",Celltrion will meet 3Q earnings consensus… Opportunity to Buy at Low Price-SK,Celltrion meets third-quarter performance consensus ... low-volume opportunity-SK
2020-10-26 19:40:00,"서정진 셀트리온 회장 ""이건희 회장, 삼성 세계적 기업 만든 제 2의 ...","Jeong-jin Seo, Chairman of Celltrion ""Chairman Kun-hee Lee, the second world-class company made by Samsung ...","Chairman Seo Jung Jin Sertorion ""Chairman Lee Kun-hee, Samsung made a second global company ..."
2020-10-26 17:47:00,셀트리온 코로나 진단키트 FDA 긴급사용승인 획득,Celltrion Corona Diagnosis Kit obtained FDA emergency approval,Sertorion Corona Diagnostic Kit FDA Emergency Use Approval
2020-10-26 14:01:00,"셀트리온, 코로나19 신속진단항원키트 '샘피뉴트' 미 FDA 긴급사용...","Celltrion, US FDA emergency use of Corona 19 rapid diagnosis antigen kit'Sampinet'...","Celltrion, Corona 19 Rapid Diagnostic Antigen Kit ""Sempinute"" US FDA Emergency Use ..."
2020-10-26 10:59:00,"[특징주]셀트리온, 코로나19 진단키트 美 FDA 긴급사용승인에 강세","[Features] Celltrion, strong in approval of US FDA emergency use of Corona 19 diagnostic kit","[Tukjinju] Celltrion, Corona 19 Diagnostic Kit Beauty FDA Bullish for Emergency Use Approval"
2020-10-26 10:23:00,"[특징주]셀트리온, 코로나19 항원진단키트 美 긴급사용승인에 '강세'","[Features] Celltrion,'Strengthened' in US Emergency Use Approval of Corona 19 Antigen Diagnosis Kit","[Tukjinju] Celltrion, Corona 19 Antigen Diagnostic Kit Beauty ""High"" for emergency use approval"
2020-10-26 10:10:00,"셀트리온, 코로나19 진단키트 FDA 긴급사용 승인 획득",Celltrion acquired FDA approval for emergency use of Corona 19 diagnostic kit,"Celltrion, Corona 19 Diagnostic Kit FDA Emergency Use Approval"
