Date,EngTitle,posneg,neg,pos,neu,compound,vader_pred
2020-10-30 15:28:00,Ssangbangwool x Kakao Makers launches collaboration brand'SERIES S',0,0.0,0.0,1.0,0.0,0
2020-10-30 15:23:00,Ssangbangwool and Kakao Makers launch collaboration brand'Series S',0,0.0,0.0,1.0,0.0,0
2020-10-30 15:19:00,Ssangbangwool x Kakao Makers launches collaboration brand'SERIES S',0,0.0,0.0,1.0,0.0,0
2020-10-30 11:21:00,"Attracted Series A investment from Wehild, Kakao Ventures, and Samsung Venture Investment",0,0.0,0.219,0.781,0.4215,1
2020-10-29 09:18:00,"10 companies with excellent gender equality including Naver, Kakao and Citibank",0,0.0,0.27,0.73,0.5719,1
2020-10-28 18:10:00,Naver and Kakao are starting to rebound again.,1,0.0,0.0,1.0,0.0,0
2020-10-28 14:38:00,[Featured Stock] Naver Kakao's'Strengthen' with higher earnings expectations,1,0.0,0.0,1.0,0.0,0
2020-10-28 11:23:00,The law applies to Naver and Kakao,0,0.0,0.0,1.0,0.0,0
2020-10-28 10:40:00,"[Features] Kakao, strong in news of Kabin investment attraction... Day 2 rise",1,0.0,0.248,0.752,0.5106,1
2020-10-27 17:43:00,"Gu Kwang-mo ""High-tech industry leader""... Beomsu Kim ""Samsung Kids Raised Kakao""",0,0.0,0.0,1.0,0.0,0
2020-10-27 12:37:00,“Kakao changes everyday life”… Large conference in November,0,0.0,0.0,1.0,0.0,0
2020-10-27 12:00:00,50% penalty penalty for incomplete sales of Naver and Kakao,0,0.429,0.0,0.571,-0.7184,-1
2020-10-27 10:23:00,"[Features] Kakao and NAVER, strong after 4 trading days",1,0.0,0.32,0.68,0.5106,1
2020-10-27 09:17:00,Kakao rises by 1%... Rebound after 4 trading days,1,0.0,0.0,1.0,0.0,0
2020-10-27 05:39:00,"It stands out as'Kakao T'in the freight transport industry... ""Aim of 100 billion won in sales next year""",-1,0.0,0.179,0.821,0.5719,1
2020-10-26 10:51:00,Kakao Enterprise launches AI speaker'Mini Hexa',0,0.0,0.0,1.0,0.0,0
2020-10-26 09:15:00,Kakao Smart Speaker'Mini Hexa',0,0.0,0.474,0.526,0.4019,1
2020-10-26 09:44:00,"Kakao Commerce, Kakao Page IP Goods Panda",1,0.0,0.0,1.0,0.0,0
2020-10-25 11:15:00,"'Kakao', No. 1 in individual net purchases during the week of KOSPI",0,0.18,0.0,0.82,-0.296,-1
2020-10-24 08:30:00,From Kakao to Toss...'Retail Securities' will open in the spring and fall nationwide era,0,0.0,0.145,0.855,0.296,1
2020-10-23 17:21:00,"'Fintech Securities' Kakao and Toss, the business model is'completely different'",-1,0.0,0.196,0.804,0.296,1
2020-10-23 11:30:00,"Naver and Kakao,'Rabang' in advance... Distribution industry ""Are I shaking?""",0,0.0,0.0,1.0,0.0,0
2020-10-23 09:18:00,"Kakao and K-Bank's 20's credit delinquency rate, four times that of the market",0,0.0,0.178,0.822,0.3818,1
2020-10-22 18:24:00,Issuance of overseas exchange bonds worth 300 million yen for Kakao,-1,0.0,0.16,0.84,0.2263,1
2020-10-22 08:40:00,Kakao Secures $300 Million “Speeding M&A”,-1,0.0,0.315,0.685,0.3182,1
