Date,Title,EngTitle,JapEngTitle
2020-10-30 16:46:00,"검찰, '라임펀드 판매' 신한금투·한투증권 압수수색···KB증권 이후 ...",Prosecutors' search for'lime fund sales' Shinhan Gold and Hantoo Securities seizure...After KB Securities...,"Prosecution, ""Lime fund sales"" Shinhan Gumtsu, Han investment securities house search ... KB securities and later ..."
2020-10-30 13:53:00,"포스코에너지-신한은행, 협력사 금융지원","POSCO Energy-Shinhan Bank, financial support for business partners","POSCO Energy-Shinhan Bank, Partner Financial Support"
2020-10-30 13:35:00,"포스코에너지, 신한은행과 손잡고 협력회사 금융지원",POSCO ENERGY and Shinhan Bank to support financial support for business partners,POSCO Energy cooperates with Shinhan Bank to provide financial support
2020-10-30 13:23:00,"포스코에너지, 신한은행과 협력사 금융지원","Financial support for POSCO ENERGY, Shinhan Bank and partners",POSCO Energy Partners with Shinhan Bank Financial Support
2020-10-30 13:11:00,신한금융 CEO들 디지털 경쟁 ‘후끈’…핵심성과 지표 반영,Shinhan Financial CEOs'hot' digital competition… Reflecting key performance indicators,"Shinhan Bank CEO Digital Competition ""and others' ... Reflected in key performance indicators"
2020-10-30 10:08:00,신한금융 CEO들 ‘디지털 전쟁’…핵심평가 지표로,Shinhan Financial CEOs “digital war”… As a core evaluation index,"Shinhan Bank CEO ""Digital War"" ... as a major evaluation index"
2020-10-30 08:54:00,"미스터블루, 웹툰 호조·게임 해외 진출 모멘텀 긍정적 -신한","Mr. Blue, webtoon booming, game overseas expansion momentum positive -Shinhan","Mr. Blue, Weptung are doing well, the momentum of overseas game expansion is positive --Shinhan"
2020-10-30 08:02:00,"삼성전자, 3Q 호실적…D램값 내년 1Q부터 상승 전망-신한","Samsung Electronics, 3Q good performance... DRAM prices to rise from 1Q next year-Shinhan","Samsung Electronics, 3Q good results ... D Remgap Expected to rise from 1Q next year --Shinhan"
2020-10-29 18:35:00,"신한GIB, 정부 '수소충전소' 사업 재무적투자 참여",Shinhan GIB participates in financial investment in government'hydrogen charging station' business,"Shinhan GIB participates in financial investment in government ""hydrogen station"" project"
2020-10-29 17:38:00,"신한금융컨소, 수소충전소 SPC 재무적투자자로 선정","Shinhan Financial Conso, selected as SPC financial investor for hydrogen charging station",Shinhan Financial Conso Selected as Hydrogen Station SPC Financial Investor
2020-10-29 17:06:00,[단독] 한국형 뉴딜 1호 수소차 충전소 SPC 재무적 투자자에 신한...,[Exclusive] Korean New Deal No. 1 Hydrogen Car Charging Station SPC Financial Investors,[Independent] Korean New Deal No. 1 Hydrogen Secondary Filling Station SPC Shinhan as a financial investor ...
2020-10-29 17:42:00,"신한은행, 퇴직연금 수익률 ‘전부문 1위’","Shinhan Bank, “No. 1 in all sectors” in retirement pension yield","Shinhan Bank, Retirement Pension Profitability ""No. 1 in All Categories"""
2020-10-29 10:04:00,"신한은행, 3분기 퇴직연금 수익률 전 부문 1위",Shinhan Bank ranks first in all categories of retirement pension returns in the third quarter,Shinhan Bank ranked first in all categories of retirement pension profitability in the third quarter
2020-10-29 14:49:00,"신한은행, '응답하라 헤이영! 해시태그 이벤트' 실시","Shinhan Bank said,'Reply Hey Young! Hashtag Event'","Shinhan Bank holds ""Reply 1988! Hashtag event"""
2020-10-29 13:39:00,"신한은행, 응답하라 헤이영! 해시태그 이벤트 실시","Shinhan Bank, please answer Hey Young! Hashtag event held","Shinhan Bank, Reply 1988, a little zero! Hashtag event implementation"
2020-10-29 13:31:00,"신한은행 ""부모님 20대 사진 올리면 선물 드려요""","Shinhan Bank ""I'll give you a present if you upload a picture of your parents in their 20s""","Shinhan Bank ""Parents will give a gift if they give a photo of their 20s"""
2020-10-29 14:22:00,"전직 신한금투 사장들, 굳은 표정으로 금감원 제재심 출석",Former CEOs of Shinhan Geumtu appear firmly at the FSS sanctions hearing,Former Shinhan President Gumtu and others attend the financial supervisory service retrial
2020-10-29 11:06:00,"신한은행, 3분기 퇴직연금 수익률 DB·DC·IRP 전 부문 1위",Shinhan Bank ranks first in all categories of DB·DC·IRP in 3Q retirement pension yield,Shinhan Bank ranked first in all categories of DB / DC / IRP for retirement pension profitability in the third quarter
2020-10-29 09:56:00,"신한은행, 3분기 퇴직연금 수익률 전 부문 1위",Shinhan Bank ranks first in all categories of retirement pension returns in the third quarter,Shinhan Bank ranked first in all categories of retirement pension profitability in the third quarter
