Date,Title,EngTitle,JapEngTitle
2020-10-31 09:07:00,"[주간HOT종목]기아차, 3분기 흑자에 '집중'…기관들 순매수세",[Weekly HOT Stock] Kia Motors'focused' on surplus in 3Q… Institutions net buying tax,"[Weekly HOT event] Kia Motors ""concentrates"" on surplus in the third quarter ... net purchase of institutions"
2020-10-30 17:41:00,한국GM 노조 부분파업···기아차도 내달 찬반투표,GM Korea union partial strike...Kia Motors also votes for or against next month,GM Korea union partial strike ... Kia Motors also voted for or against next month
2020-10-30 04:02:00,"현대기아차, 거래기간 평균 32년…협력사 동반 기술개발·인력양성 `가속...","Hyundai-Kia Motors, average 32 years of trading period... Technology development and manpower development with partners `Acceleration...","Hyundai / Kia Motors, trading period average 32 years ... Partner-accompanied technology development / human resource development `acceleration ..."
2020-10-29 15:17:00,기아차 이어 한국GM도 파업 수순...韓 자동차 수출 암초 만나나,"After Kia Motors, GM Korea will also go on strike... will Korean automobile exports meet the reef",Kia Motors followed by GM Korea's strike procedure ... Korea Motors Export Leaf Meeting?
2020-10-29 10:20:00,"기아차 노사, 전국 복지단체에 '레이 9대' 무상 기증",Labor and management of Kia Motors donated '9 Rays' to welfare organizations nationwide for free,"Kia Motors, Labor and Management donate ""Ray 9s"" to welfare organizations nationwide free of charge"
2020-10-29 09:37:00,"기아차 노사, 전국 사회복지단체에 레이 9대 기증",Kia Motors' labor and management donated 9 Rays to social welfare organizations nationwide,"Kia Motors, Labor and Management Donate 9 Rays to National Social Welfare Organizations"
2020-10-29 09:30:00,"기아차 노사, 사회 소외계층에 레이 9대 기증",Kia Motors' labor and management donated 9 Rays to the underprivileged,"Kia Motors, Labor and Management Donate 9 Rays of Social Alienation"
2020-10-29 09:14:00,"기아차 노사, 전국 사회복지단체에 레이 9대 기증",Kia Motors' labor and management donated 9 Rays to social welfare organizations nationwide,"Kia Motors, Labor and Management Donate 9 Rays to National Social Welfare Organizations"
2020-10-29 08:52:00,"기아차 국내사업본부 노사, 소외계층 위해 '레이' 9대 기증",Kia Motors' domestic business division's labor and management donated 9'Rays' for the underprivileged,"Kia Motors Domestic Business Headquarters Labor and Management Donate 9 ""Rays"" for Alienation"
2020-10-28 15:30:00,"기아차, 차세대 군용차 개발 나선다…EV·전기차 기술활용도 검토",Kia Motors to develop next-generation military vehicles... EV·EV technology utilization review,Kia Motors launches next-generation military vehicle development ... Examination of EV / electric vehicle technology utilization rate
2020-10-28 09:14:00,군수 사업 역량 키우는 기아차…차세대 군용차 표준 플랫폼 개발,Kia Motors to develop military business capabilities... Next-generation military vehicle standard platform development,Kia to develop munitions business capacity ... Development of next-generation military vehicle standard platform
2020-10-28 14:44:00,"기아차, 52주 신고가 경신…4일 연속 상승세",Kia Motors' 52-week report renewed 4 days in a row,Kia Motors updated 52-week notification ... 4 consecutive days up
