,Date,EngTitle,posneg,neg,pos,neu,compound,vader_pred,New_date(str),New_Date(dt)
0,2020-10-31 09:52:00,LG Electronics expected to surpass 3 trillion won for the first time in this year's operating profit history,0,0.0,0.306,0.6940000000000001,0.765,1,2020-10-31,2020-10-31 00:00:00
1,2020-10-30 17:50:00,"LG Electronics, the highest performance in the third quarter of history… ""Home appliances and TV doubles with the pent-up effect"" (...",1,0.0,0.0,1.0,0.0,0,2020-10-31,2020-10-31 00:00:00
2,2020-10-30 17:38:00,LG Electronics surpassed 2 trillion won in sales profits for household appliances,0,0.0,0.423,0.5770000000000001,0.765,1,2020-10-31,2020-10-31 00:00:00
3,2020-10-30 16:26:00,"Dragging new home appliances and pushing TV... LG Electronics, the highest performance in the third quarter of all time (total)",0,0.0,0.0,1.0,0.0,0,2020-10-31,2020-10-31 00:00:00
4,2020-10-30 17:32:00,Home appliances·TV 3rd quarter'Burnty'... LG Electronics' annual 3 trillion operating profits,-1,0.0,0.244,0.7559999999999999,0.4404,1,2020-10-31,2020-10-31 00:00:00
5,2020-10-30 16:01:00,"[Complementary] LG Electronics' 3Q operating profit and sales, quarterly maximum… Pull home appliances, T...",0,0.0,0.182,0.818,0.4404,1,2020-10-31,2020-10-31 00:00:00
6,2020-10-30 17:21:00,"Home appliances and TV twins… LG Electronics, 3Q profit nearing 1 trillion",0,0.0,0.225,0.775,0.4404,1,2020-10-31,2020-10-31 00:00:00
7,2020-10-30 16:19:00,"LG Electronics' annual profit breaks through 3 trillion for the first time,'counter reading'… 3Q operating profit 959 billion",-1,0.0,0.27899999999999997,0.721,0.7003,1,2020-10-31,2020-10-31 00:00:00
8,2020-10-30 16:06:00,"LG Electronics' home appliance sales exceeded 2 trillion won... Sales, operating profit in the third quarter of all time...",-1,0.0,0.146,0.8540000000000001,0.4404,1,2020-10-31,2020-10-31 00:00:00
9,2020-10-30 16:01:00,"[Complementary] LG Electronics' 3Q operating profit and sales, quarterly maximum… Pull home appliances, T...",0,0.0,0.182,0.818,0.4404,1,2020-10-31,2020-10-31 00:00:00
10,2020-10-30 15:56:00,"LG Electronics, 3Q operating profit of 9590 billion won... Maximum in the third quarter (complementary)",-1,0.0,0.172,0.828,0.4404,1,2020-10-30,2020-10-30 00:00:00
11,2020-10-30 15:56:00,"LG Electronics, 3Q operating profit of 9590 billion won... Maximum in the third quarter (complementary)",-1,0.0,0.172,0.828,0.4404,1,2020-10-30,2020-10-30 00:00:00
12,2020-10-30 17:10:00,"[Concall] LG Electronics ""Developing a new light source with ZKW for vehicle lamp competitiveness""",0,0.0,0.0,1.0,0.0,0,2020-10-31,2020-10-31 00:00:00
13,2020-10-30 17:02:00,"""Developing new light sources with ZKW, seeking new orders in cooperation with OEM companies""-...",0,0.0,0.0,1.0,0.0,0,2020-10-31,2020-10-31 00:00:00
14,2020-10-30 17:06:00,"[Overall] LG Electronics, which recorded the highest performance in the third quarter in 11 years, survived the corona crisis...",1,0.0,0.155,0.845,0.5106,1,2020-10-31,2020-10-31 00:00:00
15,2020-10-30 16:28:00,LG Electronics surpassed KRW 2 trillion in accumulated operating profit... 3rd quarter record high performance (total),0,0.0,0.0,1.0,0.0,0,2020-10-31,2020-10-31 00:00:00
16,2020-10-30 16:01:00,"[Complementary] LG Electronics' 3Q operating profit and sales, quarterly maximum… Pull home appliances, T...",0,0.0,0.182,0.818,0.4404,1,2020-10-31,2020-10-31 00:00:00
17,2020-10-30 15:45:00,"LG Electronics, 3Q operating profit approaching 1 trillion won... The largest ever (2 steps)",-1,0.0,0.195,0.805,0.4404,1,2020-10-30,2020-10-30 00:00:00
18,2020-10-30 17:01:00,"[Concall] LG Electronics ""I'm used to LCD panel price fluctuations... to respond to the situation...",0,0.0,0.0,1.0,0.0,0,2020-10-31,2020-10-31 00:00:00
19,2020-10-30 16:55:00,"""LCD panel price rises until this year, declines or maintains next year""-LG Electronics...",0,0.0,0.0,1.0,0.0,0,2020-10-31,2020-10-31 00:00:00
20,2020-10-30 16:58:00,"[Concall] LG Electronics ""Facility investment in 2021, similar to this year's 2 trillion won""",-1,0.0,0.23600000000000002,0.764,0.5719,1,2020-10-31,2020-10-31 00:00:00
21,2020-10-30 16:44:00,"""In the middle of 2 trillion won, similar to this year's facility investment for next year""-LG Electronics Concall",-1,0.0,0.188,0.812,0.5719,1,2020-10-31,2020-10-31 00:00:00
22,2020-10-30 16:46:00,"[Breaking News] LG Electronics ""Increases sales by increasing the lineup of low-end 5G phones next year",-1,0.0,0.0,1.0,0.0,0,2020-10-31,2020-10-31 00:00:00
23,2020-10-30 16:44:00,"""In the middle of 2 trillion won, similar to this year's facility investment for next year""-LG Electronics Concall",-1,0.0,0.188,0.812,0.5719,1,2020-10-31,2020-10-31 00:00:00
24,2020-10-30 16:42:00,"[Breaking News] LG Electronics ""Huawei will fill the void…European premium phone sales expected""",-1,0.0,0.0,1.0,0.0,0,2020-10-31,2020-10-31 00:00:00
25,2020-10-30 16:42:00,"[Breaking News] LG Electronics ""Huawei will fill the void…European premium phone sales expected""",-1,0.0,0.0,1.0,0.0,0,2020-10-31,2020-10-31 00:00:00
26,2020-10-30 16:43:00,"""Next year's business environment will be better than this year""-LG Electronics Concall",1,0.0,0.209,0.7909999999999999,0.4404,1,2020-10-31,2020-10-31 00:00:00
27,2020-10-30 16:38:00,[Concall] LG Electronics' HE Business Division's 3Q online contribution increased by 30-50%...,0,0.0,0.16,0.84,0.2732,1,2020-10-31,2020-10-31 00:00:00
28,2020-10-30 16:32:00,"""The proportion of online HE business increased by 30-50% in the third quarter of this year""-LG Electronics...",0,0.0,0.11599999999999999,0.884,0.2732,1,2020-10-31,2020-10-31 00:00:00
29,2020-10-30 16:35:00,"""BS business continues to grow with high specifications until the first half of next year""-LG Electronics Concall",0,0.0,0.0,1.0,0.0,0,2020-10-31,2020-10-31 00:00:00
30,2020-10-30 16:30:00,[Concall] LG Electronics “Online sales and OLED TV sales will increase in the fourth quarter”,0,0.0,0.141,0.8590000000000001,0.3182,1,2020-10-31,2020-10-31 00:00:00
31,2020-10-30 16:27:00,"LG Electronics ""Expected to turn profitable in the third quarter of next year""",0,0.0,0.195,0.805,0.4404,1,2020-10-31,2020-10-31 00:00:00
32,2020-10-30 16:20:00,"""Operation profits from the old electrical equipment business may turn into a surplus in the third quarter of next year""-LG Electronics Concall",-1,0.0,0.127,0.873,0.4404,1,2020-10-31,2020-10-31 00:00:00
33,2020-10-30 16:27:00,"LG Electronics ""Expected to turn profitable in the third quarter of next year""",0,0.0,0.195,0.805,0.4404,1,2020-10-31,2020-10-31 00:00:00
34,2020-10-30 16:25:00,"LG Electronics ""3Q home appliance business grows at home and abroad",0,0.0,0.0,1.0,0.0,0,2020-10-31,2020-10-31 00:00:00
35,2020-10-30 16:19:00,"[Concall] LG Electronics ""H&A Business Headquarters, Growth in both Korea and Overseas""",0,0.0,0.191,0.809,0.3818,1,2020-10-31,2020-10-31 00:00:00
36,2020-10-30 16:10:00,"""H&A business sales likely to maintain double-digit growth in 4Q""-LG Electronics Concall",0,0.0,0.191,0.809,0.3818,1,2020-10-31,2020-10-31 00:00:00
37,2020-10-30 16:24:00,"[Concall] LG Electronics ""VS Business Headquarters Will Turn Black in 3Q 2021",-1,0.0,0.0,1.0,0.0,0,2020-10-31,2020-10-31 00:00:00
38,2020-10-30 16:16:00,"[Breaking News] LG Electronics ""Reinforcement of low-end product lineup centered on 4Q North and Central America",-1,0.244,0.0,0.7559999999999999,-0.7034,-1,2020-10-31,2020-10-31 00:00:00
39,2020-10-30 16:02:00,Thanks to the middle and low price... LG Electronics also reduced its deficit in the third quarter,-1,0.221,0.134,0.645,-0.2263,-1,2020-10-31,2020-10-31 00:00:00
40,2020-10-30 15:54:00,"[Breaking News] LG Electronics, 3Q sales of 16,9196 won... Quarterly largest",-1,0.0,0.0,1.0,0.0,0,2020-10-30,2020-10-30 00:00:00
41,2020-10-30 15:50:00,[Breaking News] LG Electronics' 3Q operating profit of 9590 billion won... 22.7 compared to the same period last year...,-1,0.0,0.139,0.861,0.4404,1,2020-10-30,2020-10-30 00:00:00
42,2020-10-30 15:35:00,"LG Electronics, 3Q sales of 16,919.6 billion won... 7.8% ↑ over the previous year (breaking news)",-1,0.0,0.0,1.0,0.0,0,2020-10-30,2020-10-30 00:00:00
43,2020-10-30 15:34:00,"LG Electronics, 3Q operating profit of 9590 billion won... 22.7% ↑ compared to the previous year (breaking news)",-1,0.0,0.153,0.847,0.4404,1,2020-10-30,2020-10-30 00:00:00
44,2020-10-30 15:31:00,"[Breaking News] LG Electronics, 3Q operating profit of 9590 billion won... 22.7% year-on-year↑",-1,0.0,0.195,0.805,0.4404,1,2020-10-30,2020-10-30 00:00:00
45,2020-10-30 15:39:00,"LG Electronics' 3Q operating profit of 959 billion won, an increase of 22.7% year-on-year",-1,0.0,0.447,0.5529999999999999,0.836,1,2020-10-30,2020-10-30 00:00:00
46,2020-10-30 15:37:00,"[Breaking News] LG Electronics' MC division, 3Q sales of 1.524.8 billion won... 0.2% over the previous year...",-1,0.0,0.0,1.0,0.0,0,2020-10-30,2020-10-30 00:00:00
47,2020-10-30 15:35:00,"LG Electronics, 3Q operating profit of 9590 billion... 22.7% over the previous year ↑ (1 report)",-1,0.0,0.172,0.828,0.4404,1,2020-10-30,2020-10-30 00:00:00
48,2020-10-30 15:33:00,"LG Electronics, 3Q operating profit of 9590 billion... 22.7% year-on-year↑",-1,0.0,0.244,0.7559999999999999,0.4404,1,2020-10-30,2020-10-30 00:00:00
49,2020-10-30 15:35:00,"LG Electronics, 3Q operating profit of 9590 billion... 22.7% over the previous year ↑ (1 report)",-1,0.0,0.172,0.828,0.4404,1,2020-10-30,2020-10-30 00:00:00
50,2020-10-30 15:35:00,"LG Electronics, 3Q operating profit of 9590 billion... 22.7% over the previous year ↑ (1 report)",-1,0.0,0.172,0.828,0.4404,1,2020-10-30,2020-10-30 00:00:00
51,2020-10-30 15:34:00,"[Breaking News] LG Electronics, 3Q sales of 16,919.6 billion won... Second quarter",-1,0.0,0.0,1.0,0.0,0,2020-10-30,2020-10-30 00:00:00
